year,country,ID,lnREN,Gen-1,lnGDP,lnENG-CST,lnTech-1,,,
1998,Austria,2,3.028199464,0.927,4.61402818,2.851914548,2.30058309,,,
1999,Austria,2,3.141562722,0.927,4.628359908,2.637552623,2.38416508,,,
2000,Austria,2,3.134624272,0.928,4.641734114,2.533157594,2.39059597,,,
2001,Austria,2,3.092405161,0.928,4.645540358,2.231490965,2.294552921,,,
2002,Austria,2,3.056827373,0.935,4.650508884,2.269621308,2.17588744,,,
2003,Austria,2,2.929592471,0.935,4.652641669,2.706610467,2.237513096,,,
2004,Austria,2,2.978077338,0.935,4.661630414,2.723090368,2.276241118,,,
2005,Austria,2,3.050220459,0.935,4.668310235,2.724436184,2.302585093,,,
2006,Austria,2,3.110399349,0.934,4.680810529,2.712561757,2.374905755,,,
2007,Austria,2,3.203559121,0.933,4.695275513,2.806139417,2.414126468,,,
2008,Austria,2,3.236322738,0.928,4.700194723,2.898746412,2.60194867,,,
2009,Austria,2,3.341801172,0.93,4.682490208,2.972534759,2.554899022,,,
2010,Austria,2,3.311272674,0.931,4.689377595,2.961760067,2.733067964,,,
2011,Austria,2,3.294354286,0.931,4.700464963,2.927112786,2.747911735,,,
2012,Austria,2,3.424262655,0.931,4.70145875,2.90119914,2.756840365,,,
2013,Austria,2,3.404857342,0.947,4.69895298,2.894529228,2.490723035,,,
2014,Austria,2,3.423610976,0.945,4.698411577,2.85107455,2.549445171,,,
2015,Austria,2,3.39618484,0.945,4.698466539,2.819959887,2.563409711,,,
2016,Austria,2,3.412466974,0.945,4.701506506,2.802323349,2.506341931,,,
2017,Austria,2,3.395849775,0.948,4.708468576,2.741407704,2.59450816,,,
2018,Austria,2,3.382014562,0.932,4.716776034,2.726376425,2.635479508,,,
2019,Austria,2,3.403195384,0.935,4.721358697,2.740833892,2.636196097,,,
2020,Austria,2,3.466360708,0.936,4.690470219,2.755085315,2.662820358,,,
2021,Austria,2,3.42751469,0.936,4.708137199,2.769136486,2.682504447,,,
2022,Austria,2,3.42751469,0.923,4.725113495,2.782992954,2.70180854,,,
1990,Belgium,3,0.990374879,0.911,4.520741151,2.847164007,2.051556338,,,
1991,Belgium,3,0.969540793,0.918,4.527016171,2.807680994,1.882513832,,,
1992,Belgium,3,0.948706706,0.918,4.531850974,2.778289332,1.523880024,,,
1993,Belgium,3,0.813670422,0.918,4.525957033,2.796593999,1.728109442,,,
1994,Belgium,3,0.738635236,0.918,4.538411974,2.757682019,1.814824742,,,
1995,Belgium,3,0.989949664,0.924,4.547737549,2.757321599,1.774952351,,,1
1996,Belgium,3,0.938124596,0.924,4.552590352,2.74449449,1.654411278,,,
1997,Belgium,3,0.916618391,0.924,4.567710224,2.716602503,1.791759469,,,
1998,Belgium,3,0.989949664,0.924,4.575220416,2.710472403,1.86252854,,,
1999,Belgium,3,1.058268908,0.935,4.589344852,2.659808178,1.786746927,,,
2000,Belgium,3,1.09531018,0.937,4.604140266,2.622975248,1.981001469,,,
2001,Belgium,3,1.198850859,0.937,4.607395934,2.750377289,2.02287119,,,
2002,Belgium,3,1.246860078,0.937,4.612799533,2.726736977,1.957273908,,,
2003,Belgium,3,1.39877612,0.94,4.61546617,2.691204976,1.928618652,,,
2004,Belgium,3,1.500775288,0.94,4.628825662,2.704983411,1.948763218,,,
2005,Belgium,3,1.688134639,0.94,4.63640444,2.705034786,2.013568798,,,
2006,Belgium,3,1.867100488,0.94,4.644485759,2.718004799,2.00148,,,
2007,Belgium,3,2.036736885,0.94,4.656978457,2.72977185,2.206074193,,,
2008,Belgium,3,2.190887565,0.947,4.655484195,2.79108434,2.172476408,,,
2009,Belgium,3,2.403642999,0.947,4.64312387,2.80490873,2.43798973,,,
2010,Belgium,3,2.593308531,0.949,4.651420784,2.752694796,2.484072969,,,
2011,Belgium,3,2.669591835,0.944,4.654828457,2.7835891,2.266957915,,,
2012,Belgium,3,2.83736998,0.944,4.655108264,2.767578378,2.295560478,,,
2013,Belgium,3,2.859418118,0.946,4.654856148,2.757465714,2.368372834,,,
2014,Belgium,3,2.870262531,0.947,4.659526205,2.703324506,2.399711804,,,
2015,Belgium,3,2.948763218,0.947,4.666028749,2.83055256,2.353278207,,,
2016,Belgium,3,2.950186706,0.946,4.669316323,2.891202923,2.403334996,,,
2017,Belgium,3,2.993338843,0.946,4.674219417,2.888282717,2.427454075,,,
2018,Belgium,3,3.054123734,0.948,4.679850447,2.826255192,2.457021446,,,
2019,Belgium,3,3.051556338,0.95,4.6872609,2.838488254,2.131796772,,,
2020,Belgium,3,3.248128907,0.948,4.661630793,2.850573474,2.167337944,,,
2021,Belgium,3,3.181546765,0.947,4.685764303,2.862514384,2.076938411,,,
2022,Belgium,3,3.288486169,0.952,4.708627035,2.87431439,1.977547234,,,
1990,Canada,4,3.844327819,0.888,4.511730329,1.887759147,2.32825284,,,
1991,Canada,4,3.87356464,0.888,4.49717743,1.945862059,2.23644529,,,
1992,Canada,4,3.870735783,0.894,4.495929066,1.987232362,2.189416395,,,
1993,Canada,4,3.85532012,0.906,4.502561348,2.004469269,2.140066163,,,
1994,Canada,4,3.871302195,0.909,4.516897994,2.025894081,2.303584593,,,
1995,Canada,4,3.879760097,0.909,4.523949004,1.989859566,2.298577072,,,
1996,Canada,4,3.884800713,0.909,4.526385031,1.981614039,2.074429,,,
1997,Canada,4,3.865623588,0.912,4.540270272,1.975698004,2.07819076,,,
1998,Canada,4,3.848970892,0.912,4.553265356,1.978344505,2.006870849,,,
1999,Canada,4,3.865623588,0.912,4.571597974,1.962386802,2.198335072,,,
2000,Canada,4,3.866761892,0.916,4.589476756,1.930729756,2.085672091,,,
2001,Canada,4,3.808800104,0.916,4.592463786,1.983418449,2.061786606,,,
2002,Canada,4,3.868466923,0.916,4.600654405,1.958204358,2.16791019,,,
2003,Canada,4,3.786245049,0.916,4.604494109,1.972421201,2.272125886,,,
2004,Canada,4,3.793616089,0.916,4.61364587,1.953571225,2.267993648,,,
2005,Canada,4,3.783157674,0.916,4.623241432,1.976826443,2.282382386,,,
2006,Canada,4,3.738902665,0.913,4.630146153,1.972005802,2.298577072,,,
2007,Canada,4,3.783775912,0.915,4.634834434,1.981603366,2.350422422,,,
2008,Canada,4,3.809402695,0.915,4.634471325,2.00923434,2.378619779,,,
2009,Canada,4,3.83085763,0.917,4.61661581,1.968046938,2.437115986,,,
2010,Canada,4,3.798500104,0.917,4.625003189,1.990333956,2.512035317,,,
2011,Canada,4,3.833801406,0.92,4.634205625,2.034978242,2.558002205,,,
2012,Canada,4,3.839078464,0.92,4.637071244,2.050848896,2.524928324,,,
2013,Canada,4,3.872999508,0.91,4.642481634,2.128088035,2.430978308,,,
2014,Canada,4,3.843745917,0.91,4.650404476,2.069871969,2.484072969,,,
2015,Canada,4,3.84549061,0.919,4.650016536,2.07032027,2.445819261,,,
2016,Canada,4,3.821973947,0.92,4.649426187,2.253931075,2.439734931,,,
2017,Canada,4,3.811208293,0.913,4.657222077,2.252471044,2.507157259,,,
2018,Canada,4,3.789322921,0.912,4.662983889,2.242792145,2.393339456,,,
2019,Canada,4,3.778819272,0.912,4.664870907,2.287415897,2.426571073,,,
2020,Canada,4,3.8501283,0.895,4.637247898,2.330133142,2.458733775,,,
2021,Canada,4,3.779440197,0.92,4.65610731,2.371100135,2.489894191,,,
2022,Canada,4,3.703372612,0.872,4.674181715,2.410454674,2.520112906,,,
1990,Chile,5,4.326832966,0.581,3.940973946,2.387354217,1.627277831,,,
1991,Chile,5,4.464485121,0.631,3.966334657,2.346302687,2.900322089,,,
1992,Chile,5,4.516013056,0.631,4.006552892,2.303493519,3.197856458,,,
1993,Chile,5,4.463546007,0.641,4.028989893,2.531416748,3.32970138,,,
1994,Chile,5,4.407179453,0.646,4.046457313,2.409960325,2.156402583,,,
1995,Chile,5,4.400863993,0.646,4.083949942,2.27168609,2.290512512,,,
1996,Chile,5,4.318178026,0.649,4.108900424,2.206784669,2.616665639,,,
1997,Chile,5,4.23277873,0.669,4.13402243,2.094285352,1.378766095,,,
1998,Chile,5,4.197447877,0.669,4.146200619,1.954589582,3.36867419,,,
1999,Chile,5,4.126760536,0.669,4.139607725,2.157934022,1.811562097,,,
2000,Chile,5,4.222070716,0.83,4.155526721,2.177313409,2.457021446,,,
2001,Chile,5,4.273742726,0.836,4.164039515,2.328645315,2.975529566,,,
2002,Chile,5,4.265377659,0.847,4.172953902,2.359701363,2.947591898,,,
2003,Chile,5,4.210440346,0.847,4.188446698,2.365806445,2.744703519,,,
2004,Chile,5,4.187178738,0.847,4.212006389,2.393286551,2.581730834,,,
2005,Chile,5,4.222867846,0.856,4.232292288,2.522198231,2.69934576,,,
2006,Chile,5,4.231989464,0.856,4.25341337,2.572372136,3.300271463,,,
2007,Chile,5,4.157851123,0.856,4.270803867,2.735932341,2.6651427,,,
2008,Chile,5,4.198264871,0.856,4.282254495,3.021073514,2.736961545,,,
2009,Chile,5,4.263466708,0.853,4.272629589,3.011728251,2.776331709,,,
2010,Chile,5,4.096934154,0.854,4.29264831,2.886432572,2.710048204,,,
2011,Chile,5,4.141562722,0.854,4.314055866,2.806486263,3.274121299,,,
2012,Chile,5,4.399529325,0.854,4.335258059,2.605010876,2.910718899,,,
2013,Chile,5,4.447762851,0.864,4.345221162,2.544485929,3.000222179,,,
2014,Chile,5,4.314186005,0.879,4.348626083,2.520665109,2.761274962,,,
2015,Chile,5,4.305053521,0.865,4.353408007,2.701727084,2.960105096,,,
2016,Chile,5,4.299902664,0.85,4.356251173,2.776178475,2.840247371,,,
2017,Chile,5,4.326473835,0.867,4.356123993,2.875901257,2.606386547,,,
2018,Chile,5,4.358985533,0.864,4.365352434,2.829516261,2.937043277,,,
2019,Chile,5,4.310543013,0.858,4.360522414,2.891588114,3.109953418,,,
2020,Chile,5,4.385068,0.874,4.325843108,2.9500312,3.301254264,,,
2021,Chile,5,4.201933104,0.868,4.3688889,3.005246467,3.452576783,,,
2022,Chile,5,4.192394948,0.906,4.408050259,3.057571878,3.583981794,,,
1990,Colombia,6,4.47537678,0.523,3.879259928,0.422033401,3.536019607,,,
1991,Colombia,6,4.449034711,0.72,3.882383355,0.228464431,2.079441542,,,
1992,Colombia,6,4.361763312,0.742,3.892242126,0.988208949,2.407845604,,,
1993,Colombia,6,4.381334753,0.742,3.908118126,0.671339747,2.654649424,,,
1994,Colombia,6,4.415757533,0.743,3.924124153,2.618676813,2.852439104,,,
1995,Colombia,6,4.405521353,0.743,3.939432385,2.478770363,2.635479508,,,
1996,Colombia,6,4.39785848,0.743,3.939423398,2.51858598,0.978326123,,,
1997,Colombia,6,4.175132902,0.743,3.94665168,2.339000198,1.360976553,,,
1998,Colombia,6,4.122805356,0.748,3.943143179,2.73051249,2.31944221,,,
1999,Colombia,6,4.27184771,0.748,3.913979065,2.928537241,3.085572978,,,
2000,Colombia,6,4.174714929,0.737,3.918866126,2.709977235,2.547881449,,,
2001,Colombia,6,4.145444547,0.737,3.920545931,2.763979244,1.415853163,,,
2002,Colombia,6,4.222867846,0.731,3.925837363,2.936516421,1.388791241,,,
2003,Colombia,6,4.266903794,0.731,3.93709844,3.02532693,1.978239036,,,
2004,Colombia,6,4.240637317,0.731,3.954304271,3.0620752,2.292534757,,,
2005,Colombia,6,4.199489111,0.731,3.968979535,3.036441992,2.157559321,,,
2006,Colombia,6,4.236322738,0.703,3.992004891,3.00378137,2.349468679,,,
2007,Colombia,6,4.260401572,0.705,4.015143393,2.951026465,2.718000532,,,
2008,Colombia,6,4.248822901,0.705,4.024021981,3.025874203,2.762538386,,,
2009,Colombia,6,4.154870495,0.705,4.023818115,3.017831289,2.935451343,,,
2010,Colombia,6,4.217675104,0.76,4.037817585,3.180087544,2.445819261,,,
2011,Colombia,6,4.266141017,0.769,4.061914049,3.196925769,2.747270914,,,
2012,Colombia,6,4.30981282,0.769,4.073544598,3.193020775,2.248128907,,,
2013,Colombia,6,4.264231527,0.753,4.090288745,3.185466422,2.367436065,,,
2014,Colombia,6,4.24376354,0.789,4.104446138,3.206760828,2.349468679,,,
2015,Colombia,6,4.214867803,0.786,4.112189945,3.186163418,2.222459049,,,
2016,Colombia,6,4.167161389,0.77,4.116285556,3.245945666,2.76000994,,,
2017,Colombia,6,4.269949095,0.769,4.117330634,3.231030812,2.522523513,,,
2018,Colombia,6,4.251536607,0.758,4.123572035,3.292548791,2.537657215,,,
2019,Colombia,6,4.16463081,0.762,4.132513914,3.308485374,2.415913778,,,
2020,Colombia,6,4.191710157,0.76,4.096164472,3.324171961,2.26436388,,,
2021,Colombia,6,4.369362658,0.746,4.137704697,3.339616275,2.111908732,,,
2022,Colombia,6,4.520164901,0.777,4.175616171,3.354825686,1.9319561,,,
1990,Costa Rica,7,4.704752803,0.899,3.967737003,2.626258468,2.028148247,,,
1991,Costa Rica,7,4.701301974,0.906,3.972412064,2.49608765,3.008648499,,,
1992,Costa Rica,7,4.716980884,0.906,4.001082648,2.34640024,3.494080376,,,
1993,Costa Rica,7,4.730501129,0.906,4.021466745,2.931772742,3.241810796,,,
1994,Costa Rica,7,4.752558231,0.912,4.028194538,2.837546668,3.139399623,,,
1995,Costa Rica,7,4.704014342,0.912,4.033788731,2.733509576,3.025291076,,,
1996,Costa Rica,7,4.744550651,0.912,4.028041074,2.920305775,3.036874217,,,
1997,Costa Rica,7,4.727138166,0.916,4.040190396,2.781269267,3.138966442,,,
1998,Costa Rica,7,4.590163481,0.928,4.059664123,2.691914361,2.961140829,,,
1999,Costa Rica,7,4.674019591,0.928,4.067510882,2.632014963,3.0301337,,,
2000,Costa Rica,7,4.747148362,0.937,4.074298488,2.915968479,0.732367894,,,
2001,Costa Rica,7,4.773450356,0.937,4.080206057,2.725387123,1.165231976,,,
2002,Costa Rica,7,4.828423982,0.943,4.087279063,2.697697442,2.270061901,,,
2003,Costa Rica,7,4.776203282,0.943,4.098782124,2.64830183,2.744703519,,,
2004,Costa Rica,7,4.960241578,0.943,4.110687331,2.697777535,2.721295428,,,
2005,Costa Rica,7,4.970103217,0.942,4.121038904,2.691714758,3.51244056,,,
2006,Costa Rica,7,4.958715733,0.943,4.145262618,2.724447104,2.606386547,,,
2007,Costa Rica,7,4.907814161,0.945,4.173329067,2.735182054,3.235929579,,,
2008,Costa Rica,7,4.912822686,0.945,4.187106816,2.79112983,2.516082267,,,
2009,Costa Rica,7,4.935153423,0.946,4.176909856,2.979060146,0.599522433,,,
2010,Costa Rica,7,4.942940108,0.944,4.193358665,2.979985988,2.033184483,,,
2011,Costa Rica,7,4.921973336,0.943,4.206527702,2.908781324,2.599387577,,,
2012,Costa Rica,7,4.94951145,0.945,4.221564715,2.898487112,2.515127233,,,
2013,Costa Rica,7,4.953164949,0.94,4.226635988,3.143712519,2.423108334,,,
2014,Costa Rica,7,4.945070859,0.939,4.236262592,3.019093242,3.422144328,,,
2015,Costa Rica,7,4.965942847,0.922,4.246495873,2.994253395,3.911807039,,,
2016,Costa Rica,7,4.857777991,0.922,4.259187105,2.892153467,3.150598736,,,
2017,Costa Rica,7,4.816832818,0.917,4.271836033,2.812762244,3.871868286,,,
2018,Costa Rica,7,4.776203282,0.912,4.278170341,2.818309496,3.129421474,,,
2019,Costa Rica,7,4.879912952,0.913,4.283830429,2.876378279,3.59450816,,,
2020,Costa Rica,7,4.988057692,0.914,4.260316624,2.931259339,3.910718899,,,
2021,Costa Rica,7,4.941581808,0.92,4.288478836,2.983284522,4.150596984,,,
2022,Costa Rica,7,4.892840186,0.919,4.314925524,3.032736411,4.343921314,,,
1990,Czechia,8,1.828551818,0.869,4.343266957,2.510558569,3.279316466,,,
1991,Czechia,8,1.928219303,0.869,4.291917367,2.568178303,3.348514025,,,
1992,Czechia,8,2.335001067,0.869,4.289327584,2.762699821,3.35991016,,,
1993,Czechia,8,2.348073148,0.875,4.289058022,2.687388792,3.554121719,,,
1994,Czechia,8,2.348073148,0.875,4.301278992,2.666352509,3.629006994,,,
1995,Czechia,8,2.232560261,0.875,4.328859102,2.606993792,3.275213896,,,
1996,Czechia,8,2.199964783,0.895,4.347647471,2.551752,3.355177543,,,
1997,Czechia,8,2.280933845,0.895,4.345883996,2.537180619,3.124653885,,,
1998,Czechia,8,2.332366019,0.895,4.344699315,2.610099916,3.674148649,,,
1999,Czechia,8,2.456286733,0.895,4.351182684,2.644055674,3.48740353,,,
2000,Czechia,8,2.366091654,0.897,4.36865481,2.705066496,3.076938411,,,
2001,Czechia,8,2.413423029,0.897,4.383720421,2.736143522,3.301584593,,,
2002,Czechia,8,2.517322624,0.904,4.391481163,2.766825469,3.235376343,,,
2003,Czechia,8,2.410986974,0.904,4.406735143,2.733142573,3.335052283,,,
2004,Czechia,8,2.481604541,0.904,4.426931202,2.72066748,3.468099531,,,
2005,Czechia,8,2.528227857,0.904,4.453540477,2.76845224,3.239645293,,,
2006,Czechia,8,2.564440547,0.898,4.480598015,2.835468824,3.396075436,,,
2007,Czechia,8,2.613429934,0.9,4.501775736,2.877059741,3.672768387,,,
2008,Czechia,8,2.715598108,0.899,4.508810001,2.908770782,3.529720666,,,
2009,Czechia,8,2.89761986,0.901,4.485531488,3.02464439,3.465553921,,,
2010,Czechia,8,2.935859813,0.92,4.49491464,2.98698964,3.561867691,,,
2011,Czechia,8,3.068127782,0.918,4.50334377,2.989131253,3.558776498,,,
2012,Czechia,8,3.144761008,0.919,4.499399473,2.992768505,3.33117255,,,
2013,Czechia,8,3.237513096,0.912,4.499140848,3.021199687,3.52332576,,,
2014,Czechia,8,3.297572551,0.912,4.508274858,2.876875239,3.431857429,,,
2015,Czechia,8,3.320425011,0.914,4.530318953,2.851382727,3.158714723,,,
2016,Czechia,8,3.339880878,0.913,4.540281412,2.826921911,3.63188884,,,
2017,Czechia,8,3.316487998,0.919,4.561172607,2.778043212,3.50389195,,,
2018,Czechia,8,3.315501318,0.922,4.573426077,2.786267169,3.564949357,,,
2019,Czechia,8,3.400618833,0.896,4.584639645,2.879659691,3.451005098,,,
2020,Czechia,8,3.498973907,0.894,4.558804657,2.965070206,3.455020016,,,
2021,Czechia,8,3.48823444,0.913,4.582096218,3.043756333,3.427601166,,,
2022,Czechia,8,3.477378383,0.934,4.604201961,3.116700055,3.399409278,,,
1990,Denmark,9,2.781709133,0.952,4.558578503,2.798760022,3.188295947,,,
1991,Denmark,9,2.766441661,0.956,4.563462099,2.861597557,3.343727036,,,
1992,Denmark,9,2.867176109,0.959,4.570443111,2.847901586,3.002830439,,,
1993,Denmark,9,2.885553349,0.959,4.568979939,2.891317336,3.068127782,,,
1994,Denmark,9,2.846878768,0.959,4.590237101,2.821457375,3.158714723,,,
1995,Denmark,9,2.900613874,0.958,4.601286911,2.796944978,3.061786606,,,
1996,Denmark,9,2.834180185,0.957,4.610916938,2.850041031,2.928618652,,,
1997,Denmark,9,2.982379829,0.957,4.622981703,2.839643047,3.102913898,,,
1998,Denmark,9,3.045108863,0.958,4.631107974,2.914498722,3.164471791,,,
1999,Denmark,9,3.138889,0.958,4.642269588,2.900727129,2.982379829,,,
2000,Denmark,9,3.265921109,0.957,4.656758441,2.946467188,2.996059933,,,
2001,Denmark,9,3.318458442,0.957,4.658877785,2.948621605,3.054123734,,,
2002,Denmark,9,3.398803951,0.957,4.659346112,2.964852898,3.075684493,,,
2003,Denmark,9,3.48490665,0.957,4.659994119,2.99261583,3.101692151,,,
2004,Denmark,9,3.618125494,0.958,4.670302827,2.966566305,3.089391873,,,
2005,Denmark,9,3.710713319,0.957,4.679145513,2.967028409,3.432735777,,,
2006,Denmark,9,3.656756907,0.957,4.694327337,3.023205785,3.489894191,,,
2007,Denmark,9,3.783775912,0.96,4.69643625,2.979552446,3.813010637,,,
2008,Denmark,9,3.822568655,0.96,4.691698883,3.068899413,4.059176446,,,
2009,Denmark,9,3.887032857,0.96,4.66744931,3.033010751,4.121483479,,,
2010,Denmark,9,3.992226134,0.958,4.673585952,3.040952321,4.251536607,,,
2011,Denmark,9,4.097837496,0.958,4.677552115,3.075306297,4.24998682,,,
2012,Denmark,9,4.178886817,0.959,4.676959408,3.066237352,4.132009892,,,
2013,Denmark,9,4.210036876,0.959,4.679310585,3.036010204,3.941803932,,,
2014,Denmark,9,4.317090872,0.96,4.683898394,3.032254275,4.037353948,,,
2015,Denmark,9,4.380314171,0.958,4.69099029,3.008785957,3.931726944,,,
2016,Denmark,9,4.395849775,0.96,4.701351129,3.049329557,4.186765771,,,
2017,Denmark,9,4.496204485,0.961,4.710695531,2.993168468,4.054001182,,,
2018,Denmark,9,4.487375078,0.961,4.717050567,3.019270266,4.189652966,,,
2019,Denmark,9,4.574309999,0.955,4.72165467,2.958312447,4.089222617,,,
2020,Denmark,9,4.649878717,0.954,4.71209301,2.893396168,4.090815155,,,
2021,Denmark,9,4.699077279,0.957,4.730836277,2.823971399,4.073988772,,,
2022,Denmark,9,4.745968421,0.96,4.748803978,2.749364851,4.056874408,,,
1990,Estonia,10,1.565313809,0.767,4.121087355,2.092869899,1.870246793,,,
1991,Estonia,10,1.641853886,0.805,4.130384916,2.140373736,3.995732274,,,
1992,Estonia,10,2.211940974,0.806,4.110937343,2.142496593,3.813610697,,,
1993,Estonia,10,2.327075001,0.888,4.048895672,2.147811863,4.118834471,,,
1994,Estonia,10,2.773255998,0.875,4.050991514,2.114139795,3.568021556,,,
1995,Estonia,10,3.16791019,0.884,4.077972589,2.100462213,3.302585093,,,
1996,Estonia,10,3.33408376,0.887,4.105333365,2.046726469,1.870246793,,,
1997,Estonia,10,3.357073278,0.887,4.163559097,2.135076931,3.002830439,,,
1998,Estonia,10,3.264883226,0.887,4.186180803,2.228427841,3.942858784,,,
1999,Estonia,10,3.35612586,0.902,4.187633792,2.359153929,1.884717502,,,
2000,Estonia,10,3.383242996,0.913,4.222689945,2.383736103,3.294552921,,,
2001,Estonia,10,3.382320061,0.909,4.250777294,2.515680563,0.916618391,,,
2002,Estonia,10,3.464703942,0.909,4.281983001,2.446098436,2.515127233,,,
2003,Estonia,10,3.437115986,0.911,4.31652199,2.51331495,3.192770227,,,
2004,Estonia,10,3.406945108,0.911,4.347705786,2.474563215,3.464703942,,,
2005,Estonia,10,3.382320061,0.911,4.389710118,2.470024139,2.650579856,,,
2006,Estonia,10,3.288486169,0.911,4.432737017,2.477583127,1.924258902,,,
2007,Estonia,10,3.263844265,0.916,4.466446313,2.452087153,3.068127782,,,
2008,Estonia,10,3.463001814,0.925,4.444730533,2.442813308,3.364620484,,,
2009,Estonia,10,3.783157674,0.927,4.376877757,2.595611797,3.396075436,,,
2010,Estonia,10,3.676215478,0.923,4.388355946,2.661071561,4.226843995,,,
2011,Estonia,10,3.681706226,0.915,4.420124645,2.634563157,4.133317937,,,
2012,Estonia,10,3.797281335,0.917,4.435477576,2.675429045,4.200304439,,,
2013,Estonia,10,3.678278043,0.924,4.443311344,2.832676307,2.811562097,,,
2014,Estonia,10,3.738256043,0.921,4.457335432,2.781887603,3.869601996,,,
2015,Estonia,10,3.967332799,0.934,4.465288546,2.780661581,3.866761892,,,
2016,Estonia,10,3.812410216,0.946,4.478390867,2.713823355,3.788092909,,,
2017,Estonia,10,3.911263117,0.948,4.502317986,2.680008104,3.700018029,,,
2018,Estonia,10,4.018471761,0.95,4.516937753,2.733748671,3.502255288,,,
2019,Estonia,10,4.216873822,0.949,4.531283313,2.745704351,2.193922468,,,
2020,Estonia,10,4.377928755,0.949,4.528025612,2.739639837,2.208572211,,,
2021,Estonia,10,4.420673158,0.947,4.561029194,2.743259942,2.143266929,,,
2022,Estonia,10,3.714370188,0.944,4.495439066,2.624397559,2.115338293,,,
1990,Finland,11,3.96217549,0.932,4.492168312,2.103747495,3.033397603,,,
1991,Finland,11,3.916147794,0.936,4.463449364,2.096571146,3.158714723,,,
1992,Finland,11,3.987195943,0.936,4.446459497,2.093777036,3.444952334,,,
1993,Finland,11,3.988707659,0.936,4.441472984,2.145736719,3.346601978,,,
1994,Finland,11,3.94811642,0.936,4.456481121,2.123013049,3.086913557,,,
1995,Finland,11,4.053529372,0.933,4.472761129,2.126413635,2.935859813,,,
1996,Finland,11,3.986186861,0.938,4.486977501,2.202202843,2.928618652,,,
1997,Finland,11,4.040227513,0.938,4.512356951,2.159546616,2.729884066,,,
1998,Finland,11,4.102342009,0.938,4.534280386,2.148221274,2.720979287,,,
1999,Finland,11,4.106826321,0.939,4.551888341,2.099101316,2.826160896,,,
2000,Finland,11,4.175132902,0.937,4.575363144,2.030386666,2.662030363,,,
