SMILES,SA Score
*OC(=O)NCCCCCCSCCCCCCCCCCCCOc1ccc(*)cc1OC,3.207392395
*Oc1ccc(NC(=O)C2=CC=C(c3ccc(CC(*)=O)cc3)C2=O)cc1,3.287470901
*CC(*)(C)C(=O)OCC([2H])(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.917935991
*CC(O)CNC(=O)O*,5.277296106
*CC(C#N)C(=O)COC(=O)C(*)=O,4.918587503
*CCCCCNC(=O)c1ccc(O*)c(N(C)CC)c1,3.369618156
*Oc1ccc(C(C)(C)c2ccc(C(*)=O)cc2)cc1,3.127538732
*CCOC(=O)c1ccc(C(=O)Oc2ccc(*)cc2)cc1,3.027216161
*/C=C/C(*)(C)c1ccccc1,4.261080996
*Nc1ccc(C[Te](*)COC(=O)c2ccc(OC)cc2)cc1,3.475473974
*CC(*)(C)C(C)(C)C,5.428766243
*/C=C/C(*)(F)C(F)(F)C(F)(F)F,5.122945799
*c1ccc(OCCCCCCOc2ccc(*)cc2)cc1,3.018264387
*OC(=O)O*,6.25126901
*OCCCCCCCCCOC(=O)Cc1ccc(NC(*)=O)cc1,2.976343977
*CC(*)(C)C(=O)Nc1ccc(C#N)cc1,3.78255101
*c1ccc([Si](*)(C)SCCCCCCCC)cc1,4.330738952
*CCCCCCCCNC(=O)CCCCCCCCC(=O)O*,3.074517646
*CCCCCCCNC(=O)CCCCCCCCCCCCCCCC(=O)N*,2.888482035
*CC(*)C(=O)OCC(C)(F)C(=O)OCCCCCCCCCCCCCCCC,3.999968152
*CC(*)c1ccc(N(C)c2ccc(OC)cc2)cc1,3.459776559
*CC(*)=O,6.286477333
*CC(*)(C)COc1ccc(OC(=O)CCCCCC)cc1,3.42450436
*CC(*)(C)CC(F)(F)F,5.369051284
*CC(*)C(=O)OCCCNCCCCC,3.912581616
*CC(*)(C)CC(C)(C)C,5.136943591
*CC(*)C(=O)NC(C)(F)F,5.495103407
*CCCCCCCCCCCCOc1ccc(C(C)(C)C)cc1OC(=O)CO*,3.142948209
*Nc1ccc(OC(=O)CCCCCCCCCC(=O)O*)cc1,3.022291175
*CC(*)c1ccc(C(=O)OCCCCCCC(C)C)cc1,3.384854423
*CCCCCCCCCCCCCCCCCCCNC(=O)COCCCCCCCCCCOC(=O)OCCCC(=O)O*,3.250440607
*Oc1ccc(Oc2ccc(/C=C/c3ccc(OC(=O)c4ccc(O*)cc4)cc3)cc2)cc1,2.755070892
*/C=C/C1CCN(*)CNC(=O)C1,5.404096667
*Oc1ccc(NC(=O)Nc2ccc(O*)cc2C)cc1,2.933188601
*CCOC(=O)CCCCC(=O)N*,3.764984229
*NC(OCCCO)C(=O)O*,5.06049944
*CC(C)N(*)CCCC,5.041751728
*CC(*)C(=O)CC1CC1,5.021099657
*CCCCN(*)C(=O)OCCCCCCCSOC,4.008052609
*CCN(C)c1c(C)cc(/C=C/C(*)=O)cc1OC,3.817037179
*NC(*)(F)C(F)(F)C(F)(F)F,4.983783094
*c1ccc(/C=C2/C[Si]2*)cc1,4.963064638
*CC(*)OC(=O)Cc1ccccc1,3.707367089
*Oc1ccc(C(OCC)c2cc(C(=O)OCCCCCCCCNC(CCOC)COC)nc(*)n2)cc1COC,4.447383813
*c1c(C)c(OCCCCCCCCCCCCC)c(*)n1CCCCCCCCCCCCCCCCCCC,2.95921196
*OC(CC)O*,5.820223587
*CC(*)C(=O)Oc1cccc(F)c1,3.940809972
*CCCCCCCCCCOC(=O)C(OCC)S*,4.059705679
*CC(*)(OCCCCCOc1ccccc1)C(F)(F)F,3.616283561
*CCCCCCCCCCCCCOC(=O)CCC(=O)N*,3.141986164
*c1ccc(*)c(-c2ccccc2C)c1,3.619455097
*CCCCCCCCCOC(=O)CCCCCCCC(*)OC(=O)c1ccccc1,3.442119653
*CC(*)(CC(F)(F)F)C(F)(F)F,5.065913044
*CC(*)C(=O)OCCCCCCCOC(=O)OC,3.835030417
*c1nc(*)c(O)o1,5.80739844
*CCCCCCCC(=O)NCCCCCCNC(=O)CCCS*,3.135194465
*CCCCCN(*)C(=O)c1ccc(Cc2ccccc2)cc1,2.943525787
*Cc1cccc(NC(=O)CCCCCCCCCCCCC(*)=O)c1,2.883384167
*CC(O)CCCCC1=CC=C(CCCCC)C=C(/C=N/c2ccc(S(*)(=O)=O)cc2)C=C1,4.476933198
*CC(C)CCC(*)OC1C(=O)OCC1(C)C,5.385709647
*C(=O)Nc1ccc(NC(=O)c2ccc(*)cc2)cc1,2.909147664
*C[Si](*)(C#N)C(=O)OCCCCCCCC[N+](=O)[O-],4.531154764
*CCOC(=O)C(C)=N*,5.040847473
*CC(*)C(=O)C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.939233358
*CCN(*)c1ccc(O)c(OCC)c1,3.722140248
*CC(*)(C(=O)OC)c1ccc(OC(C)C)cc1,3.775763689
*CCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCC(*)=O)cc1,3.028841235
*CC(*)(C)C(=O)OC(=O)O,5.169949561
*CCCCOC(=O)C1=C(C#N)C=C1C(=O)O*,4.394319037
*CC1OC(=O)N(C(C)C)CC(*)COC(=O)C(C)C(Cl)C1=O,5.833076696
*CC(*)NC(=O)OC,5.16989362
*CCCCCCOCCOC(=O)Cc1ccc(C(=O)O*)cc1,3.088376017
*C/C=C/c1ccc(OC(=O)c2ccc(O*)cc2)cc1,3.025608236
*CCCCCC(C#N)C(=O)O*,4.983438206
*CC(O)COC(C)=N*,5.693564745
*CCC(*)OC(=O)C(C)(C#N)OCC,5.597143614
*CCCCCC(=O)OCCCCCCCCCCCOC(=O)OCCCCCCCCCCCCCCCC(=O)O*,2.994230228
*Nc1c(OCC(C)C)cc(*)cc1-c1ccccc1C(F)(F)F,3.503117538
*CCCCCCCCCCCCCCOC(=O)C(CCCCCC)(CCCCCCCNC(=O)O*)c1ccc(OCCCC)cc1,3.921698852
*OC(=O)Nc1ccc(OCc2ccc(C(=O)O*)cc2)cc1,2.791806282
*CC(*)([2H])C(=O)OCCC[N+](C)(C)Cl,5.669728902
*CC(*)(C)C(=O)OCCCOC(=O)c1ccc(-c2ccc(C#N)cc2)cc1,3.359376888
*CCCNC(=O)CCCCC(=O)Nc1ccc(-c2ccc(NC(=O)O*)cc2)cc1,2.813653704
*CCC(=O)OCCCCCCOC(=O)OCCCCOC(=O)NCc1ccc(NC(=O)O*)cc1,3.191257562
*CCNC(=O)CC(*)=O,4.617554574
*CC(*)(C)C(=O)Oc1ccc(C)c(C)c1,3.805463634
*Oc1ccc(COc2ccc(Oc3ccc(/C=N/c4ccc(*)cc4)cc3)cc2)cc1,2.972982692
*CC(*)CCl,6.95664285
*OC(=O)C(C)(C)CC(=O)Oc1ccc(O*)cc1,3.514846229
*CCCCCCCC#CCCCCCCCCCCCCCCCOc1ccc(C(=O)c2ccc(*)cc2)cc1,3.192043252
*CC(*)(C)C(=O)OCCOCCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.099254097
*OC(=O)NCCCNC(*)=O,4.0854031
*CCCCCNC(=O)CCCCCCCC(=O)O*,3.218883653
*/C=C/c1ccc(-c2ccc(OC(=O)COCC(*)=O)cc2)cc1,3.073800904
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCC,3.390184197
*Oc1ccc(CC(*)=O)cc1CCOCCOCCOCCOCCOc1ccc(C)cc1,3.171518141
*CCCCNC(=O)CCCC(=O)N*,3.615592406
*CC(*)(C)C(=O)OCOc1ccc(/C=C/c2ccc(OCCCC)cc2)cc1,3.40559651
*C(=O)NCCCCCNC(=NOCCCCCCC)C(=O)NC(=O)C(C)[Si](*)(CC(C)(C)C)OC,4.735353391
*C(*)C(=O)OCC(C)(C)C,4.092025977
*OCCOC#COC(=O)CCCCCC(*)O,4.952097266
*CCCCCCCCCC(*)=O,3.724316673
*O[Si](C)(C)Oc1ccc(C(C)(C)c2ccc(C)c(*)c2)cc1OC,3.58790359
*CC(*)c1ccccc1C(=O)OCCc1ccccc1,3.259688999
*CC(*)CCCCCC(=O)Nc1ccc(C)cc1,3.333382203
*Oc1ccc(OC(=O)c2ccc(OC(=O)c3ccc(*)cc3)cc2)cc1,2.832279161
*CCCCCNC(=O)c1ccc(NC(=O)NCCCOC(=O)c2ccc(O*)c(C)c2)cc1C#N,3.160413621
*Oc1ccc(NC(=O)CCCCC(=O)Nc2ccc(O*)cc2)cc1,2.73558583
*CCCCCOc1ccc(C(=O)Nc2ccc(C3(c4ccc(OC(=O)c5ccc(O*)cc5)cc4)C=C3)cc2)cc1,3.145300002
*CC(*)(CC(C)O)C(=O)Oc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,3.799077013
*C(=O)NCCCCCCCCNC(=O)C(C(=O)OCCCC)c1ccc(*)cc1C,3.820129494
*c1ccc(-c2ccc([Si](*)(C)C)cc2)cc1,3.486969037
*Oc1ccc(C(=O)OCC(C)O*)cc1,3.857584064
*Oc1c(C(C)(C)C)cc(*)c(C)c1-c1cc(C)ccc1C,3.526980917
*CCCCCCCCOC(=O)c1ccc(S(*)(C)C)cc1,3.056032563
*CC(*)(C)C(=O)ONc1ccc(F)cc1,4.050673729
*CCCCCCCCCCCCCN(C)C(=O)CNC(=O)c1ccc(C(=O)O*)cc1,3.007766358
*Cc1cc(-c2ccccc2)c(*)cc1C,3.359253091
*O[Si](*)(C)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.314624755
*C(=O)c1ccc(-c2ccc(*)cc2)cc1,3.19860386
*c1cccc([Si](*)(C)C#N)n1,5.489535498
*CC(*)c1ccccc1-c1ccccc1,3.334725794
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(/C=N/c5cc(C(F)(F)F)ccc5C)c(C(*)=O)c4)cc3C(=O)O)cc2C)c(C)c1,3.714754396
*C(=O)Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,2.688403559
*Cc1cccc(*)c1,4.62751293
*CCCNc1ccc(CCCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1C,2.956661725
*CCSCO*,6.294475408
*C(=O)CCCCCCC(=O)NCc1c(C(=O)O)c(*)cc(OC)c1C(C)CC(C)O,4.293956674
*Oc1ccc(OC(=O)c2ccc(S(*)(=O)=O)cc2)cc1,2.91530675
*Cc1ccc(S(=O)(=O)NC(=O)c2ccc(C(=O)O*)cc2)cc1,2.918250287
*CC(O)O[Si](*)(C)C,6.028010099
*CC(*)(C)C(=O)OCCOCC(O)CO,4.550935048
*CC(*)(C)C(=O)OCCCCOC(F)(F)F,4.256849023
*CCCCCCCCCOC(=O)C1CCC(NCC(=O)O*)CC1,3.303873771
*CC(C#N)C(*)=O,5.982377555
*CNc1cc(/N=N/c2ccc([N+](=O)[O-])cc2)cc(C(*)=O)c1,3.568286408
*O[Si](*)(C)CCCCCCCCCC,3.967589661
*OCCN(CCOCCOCCOCCOC(*)=O)c1ccc(Cc2ccccc2)cc1,3.174695372
*CCCCCCCCOC(=O)CCCCCCCCC(=O)N*,3.106618324
*CCCOCOC(=O)c1ccc(-c2ccc(C(=O)NCc3ccc(O*)cc3)cc2)cc1,2.865805094
*Oc1ccc(C2(c3ccc(O*)cc3)C=C2)cc1,3.603269456
*CC(F)(F)C(F)(C(*)(F)F)C(F)(F)F,4.934578607
*CCSCCOCCOC(=O)NCCC#CNC(=O)O*,4.134577948
*/C=C/N=N/S(*)(C)Cl,6.750606663
*CCNC(=O)CCCCCC(=O)O*,3.594130867
*CCCCNC(=O)CCOC(=O)c1ccc(O*)cc1,3.101447532
*CCCCCCCCCCOC(=O)c1ccc(C(=O)N*)cc1,2.909848189
*CCOCCOCCOCCOc1ccc(OC(=O)CCCCCCCCCCC(=O)O*)cc1,3.157649861
*CCCCCCNC(=O)CCCCCSC=CCC(=O)NC(=O)CCC(=O)N*,3.709188318
*Oc1ccc(CC(C)(C)c2ccc(C(*)=O)cc2)cc1,3.176082347
*CC(*)(C)C(=O)OCCOCCOCCOC(=O)CC[Si](C)(C)[Se],4.413322619
*OC(=O)CCCCC(=O)Nc1ccc(CCc2ccc(C=C=*)cc2)cc1,2.98390466
*CCCCCCCCCNC(=O)CCCCCCC*,3.133022082
*CCCCCCOC(=O)NC(=O)NC(=O)CCCCCCCCCCOC(=O)N*,3.282052775
*OC(P)C(*)=O,7.235200527
*CC(*)C(=O)OCCCCO[Si](C)(C)O,4.677049348
*CCCNC(=O)CCCCCCCCOc1ccc(C(=O)O*)cc1,2.896938429
*CCC(C)COC(CCCCCCCCCCC)O*,4.208099126
*CC(*)C(=O)CCCCCC,4.303785498
*Sc1ccc(C(*)=S)cc1C,4.121450696
*CCCCCCNC(=O)CCCCCCCCCCCCCCC/C=C/C1CCC(*)CC1,3.336481792
*Oc1cccc(C(=O)OCCCCCCCCC(*)=O)c1,3.027939734
*Oc1ccc(C(=O)c2ccc(C(=O)Nc3ccc(-c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,2.7141299
*CCCCC(*)c1ccccc1CC#N,4.327230008
*O[Si](*)(C)CCCCCCC,4.435760978
*CCC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.374043665
*CCCCCCCCCCC(=O)NCCCCNCCNC(=O)CCSC(=O)N*,3.315949683
*Oc1ccc(/C=C/c2ccc(O*)cc2)cc1,3.083143033
*C(=O)SCC(C)CC1CCC1*,5.716020397
*OCC=C([O-])CC(*)C(=O)OC(C)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.101524808
*C(C)CCC(*)COC(=O)Oc1ccc(F)c(F)c1F,4.39132305
*CC1CCC(*)C1C,6.163291841
*C(*)C(=O)OC(C)C#N,5.000606284
*CC(*)(C)C(=O)OCC(C)CO,4.977923725
*CCCCCCCOC(=O)OC(=O)CCCCC(=O)O*,3.488981365
*CCN(*)CCCCC(C)OCc1ccccc1,3.758634066
*O[Si](*)(C)C#Cc1ccccc1,4.252935129
*C(=O)Nc1ccc(NC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,2.691284012
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)c1cc(OC)c(C(=O)OCCCCOc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1C,4.195927918
*c1cc(OCCCCCCCCCCCCCCCCC)c(N(*)CC)cc1OCCCCCCCCC,3.13474723
*NC(=O)NCC(=O)NNC(*)=O,4.086327985
*Cc1ccc(C)c(*)c1C(=O)OC(C)C,3.749889135
*CC(*)(C)C(=O)OCCOC(=O)Oc1ccc(OC(=O)c2ccc(OCc3ccc(OC)cc3)c(C)c2)cc1,3.436519975
*/C=C/c1cccc(S(=O)(=O)[Si](*)(=O)NCCCCCC)c1,4.297412582
*/C=C(\C#N)C(=O)NCCCCCC(=O)NCCCCCOC(=O)O*,3.343283336
*CC(*)(C)C1CC1(C(O)Cl)C(Cc1ccccc1)OC(=O)Oc1ccccc1,4.749641866
*Oc1ccc(Cc2ccc(S(=O)(=O)c3ccc(C(*)=O)cc3)cc2)cc1,2.816925759
*CCCCC(=O)NCCCCCCNC(=O)NCCCCCNC(=O)O*,3.126938606
*CCCCCCCCOC(=O)CCCCCCNC(=O)CCCCCCCCC(=O)N*,3.062310113
*c1ccc(Oc2ccc3cc(c2=O)N3C(=O)C2=CC=C(C3=CC=C4C=C4C(=O)N(*)C3=O)C2=O)c(C)c1,5.078043481
*CC(*)C(=O)OCCSCCCCOc1ccc(-c2ccc(C)cc2)cc1,3.372438116
*CC(*)(C)CC(=O)OC(C)(C)O,5.115951956
*OC(=O)NC1CCCCCOC(=O)C(O*)C=CN(CCCCCC)CCOCCO1,5.029006331
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(OC(*)=O)cc4)cc3)cc2)cc1,2.779166311
*C1C(C)C(*)C1N,6.461338529
*CCCCCCCCSc1ccc(*)cc1,3.557746331
*Oc1ccc(S(=O)(=O)c2ccc(Oc3cccc(S(=O)(=O)c4ccc(Oc5ccc(NC(=O)Nc6ccc(C(*)(C(F)(F)F)C(F)(F)F)cc6)cc5)cc4)c3)c(Cl)c2C)cc1C(F)(F)F,3.965208771
*Nc1ccc(NC(=O)c2cccc(S(*)=O)c2)cc1OCCCCCCCCC,3.444138371
*NC(=O)c1ccc(C(=O)OC2=CC(c3ccccc3)=C2O*)cc1,3.250197498
*CCCS(=O)(=S)CCCCC(=O)NCCCCCS*,4.39454006
*NNC(=O)C(=O)NCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,2.971664349
*CCCCCCOC(=O)c1ccccc1OC(=O)CCCCCCC(*)=O,3.04619625
*c1cc(CCCCCCCCCCCCCCCCCCCCC)cc(S(*)(=O)=O)c1,3.041761756
*C(=O)/C=C(/*)CCOc1ccc(C(=O)OCCCCCCCC)cc1,2.961058783
*Oc1ccc(C(*)(C)C)cc1,3.804044927
*CC(*)(C)C(=O)OC(C)CCCCCCCCCOc1ccc(OC(=O)c2ccc(OC(=O)CCCCCCCCC)cc2)cc1,3.858490532
*CC(*)(C)C(=O)OCCCCCOc1ccc(C(=O)OCCCCCCCC)cc1,3.310652398
*Nc1ccc(C(F)(F)C(=O)OC(F)(F)C(F)(F)C(*)(Cl)C(F)(F)F)cc1F,4.426834352
*C[Si](*)(C)CCCC,5.345270209
*NC(=O)CCCCCCCCC(=O)Nc1ccc(*)cc1,3.066150652
*CC(*)(C#N)CCCCCCC,4.467210074
*Cc1ccc(/N=N/c2ccc(OCC(C)CCCCCCOc3ccc(C(*)=O)cc3)cc2)c(OC)c1,3.646506363
*CCCCCCCOC(=O)CCCCCCC(=O)O*,3.230493686
*SC(C)C[Si](*)(C)C,6.012244365
*c1ccc2cc(C(C)(C)C)c(N3C(=O)c4ccc(OC5=CC=C5C5=CC(=O)N(*)C5=O)cc4C3=O)ccc3n(c(=O)c2c1)C=C3,4.713475388
*CC(*)(C)C(=O)OCCOC(=O)c1cc(C)c(C)c(OC)c1,3.6175064
*CC(CO*)c1ccc(-c2ccc(/N=N/c3ccc(OC)cc3)nc2)cc1,3.760980701
*CC(*)c1ccc(CCOCCCCCCS)cc1,3.745813198
*CCOCCCCCCOCC(=O)Nc1ccc([PH](=O)(Oc2ccccc2)(C(*)=O)C(=O)OC)cc1,3.889415732
*C[N+](*)(CCCCC)C(=O)OCCCCCCCCCOc1ccc(C(=O)O[Na])cc1,3.97800789
*O[Si](C)(C)c1ccc(/N=N/c2ccc(-c3ccc(*)cc3)cc2)c(C(C)(C)C)c1,3.679056609
*CC(*)(C)C(=O)OCCCCCCOC,3.906074802
*CCC(*)C(=O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,4.207239201
*c1cc(CCCCCCCCCCCCCCCC)c(*)o1,3.161971941
*CCCCCCCCCCCCCCCCOC(=O)CCC(=O)O*,3.062112447
*CC1C(=O)N(CCC)C1C(=O)O*,5.070558248
*CC(C)(C)C[Si](*)(C)C,5.252967444
*CCCCCCCCOC(=O)CCCCCCCCCCCCCC(=O)O*,2.971504707
*CC(*)C(=O)OC(C)c1ccc(OCCCC)cc1,3.815085085
*CC(*)CCCCN1c2ccccc21,3.877562487
*CCCCCOC(=O)Oc1ccc(OC(=O)C(CC(C)C)c2ccc(O*)cc2)cc1,3.641858659
*CCCCOC(=O)OCCSCCCCCCCOC(=O)O*,3.560835293
*CC(*)OC(=O)C(C)(C)C,4.924852125
*CCOCOC(=O)c1ccc(C(=O)O*)cc1,3.357873272
*c1ccc([Si](*)(C)C2=CC=C(OCCCCCC)Oc3ccccc32)cc1,4.312922539
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)CC(F)(F)F,4.595957954
*NC(=O)Nc1cc(NC(=O)NC(C)N*)ccc1C,3.800641943
*Nc1ccc(Sc2ccc(NC(=O)Nc3ccc(*)cc3)cc2)cc1,2.983460874
*CCN(*)C(=O)CCCOC(=O)CCCCCCCCCCCCCCC,3.082424098
*O[Si](*)(C)O[Si](C)(C)C,5.659047438
*CCCCC/C=C/C(CCNC(=O)C1=CC=C2C=CC(=C1)C(=O)NCc1ccccc12)=C(CC)COP(=O)(O*)OCC,6.005613835
*/C=C/C(C)C(*)=O,6.129506786
*Oc1cccc(NC(=O)c2cccc(*)c2)c1,3.09744167
*c1cc(C)c(OCCCCCCCCCCCCC)c(*)c1CCCC,3.145343776
*c1ccc(S(*)(=O)=O)c(C(F)(F)F)c1,4.035185346
*CCC([2H])C(*)(Cl)Cl,6.913194715
*CCN(CCOC(=O)NCCCCCCC(*)=O)C(=O)O,3.491857203
*NC(C)C(=O)NCC(=O)O*,4.646075402
*CCCCCCOC(=O)c1ccc(NC(=O)O*)cc1,3.028729409
*CC(*)c1cccc(C#N)c1,4.297815262
*Oc1ccc(C(=O)Nc2ccc(*)cc2)cc1-c1ccccc1,2.810135814
*C(=O)CCCCCCCCCCCCC(=O)Oc1ccc(Cc2ccc(NC(*)=O)cc2)cc1,2.902701447
*Oc1ccc(-c2ccc(NC(=O)c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,2.750331899
*CC(*)(CCl)C(=O)OCC,5.025900111
*CCCCCCC(=*)NCC,4.219782121
*c1ccc(Oc2ccc(-n3cc4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)ccc-4c3=O)cc2)cc1,3.235866666
*CCC(O)OC(=O)O*,5.71630439
*c1ccc(S(=O)(=O)c2ccc(N(*)c3ccccc3)cc2)cc1,3.100446605
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)C=C2)cc1,3.507951834
*CC(*)(C)C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OCc2ccccc2Cl)cc1,3.393391843
*CC(COC(=O)O*)c1ccc([SiH](F)(F)F)c(F)c1,5.421509432
*CCCCCCCCCCCCCCCC(=O)NCCCC(=O)O*,3.040560467
*/C=C/C(C)(CCl)C(=O)OCCC(F)(F)C(F)(F)CCC(*)(F)F,4.950279381
*OC(C)OC(=O)N(C)Oc1ccc(/N=N/c2ccc(OCCCCCOP(=O)(O*)OCCOCCOC)cc2)cc1,4.540263957
*CCCCCCCCCCCCCCCCOC(=O)NCCNCCCCCCCCNC(=O)O*,3.127282089
*CCCCCCOc1ccc(C(=O)OCCN(*)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,3.588660524
*O[Si](C)(C)O[Si](C)(C)c1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,3.632682006
*Nc1ccccc1CCCCCCCCOC(=O)C1=CC=C(C(=O)Oc2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)C1=O,3.560337643
*c1ccc(-n2c(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3c3ccccc32)cc1,3.146800601
*CC(*)C(=O)OCC1(CCCCCCCCC)CC1,3.98364516
*CC(*)(C)C(=O)OCCCNCC(C)C,4.086975722
*CC(*)(C)C(=O)Oc1ccc(C(=O)OCCC)cc1,3.499823995
*Oc1ccc(C2(c3ccc(OCc4ccc(OC(*)=O)cc4)cc3)CC(CC)(CCCCCC)C2)cc1,3.335535967
*CCCCCCCOC(=O)c1cc(C(=O)O*)ccc1OC[SH]=O,3.856328819
*OC(=O)C(*)CCCCCCCCCC,3.847315882
*CCCCCCCCCOC(=O)SC(=O)Nc1cccc(C(=O)O*)c1,3.469050456
*CCCCCC(=O)NCCCCCNC(=O)O*,3.303895388
*CCCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N*,2.864996336
*CCCCCCCCCCCCCCCCCCOC(=O)Nc1ccc(C(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,2.978613889
*CCC#CCCCC(*)c1ccc(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,4.34957417
*NC(=O)CCCCCCCCCCCCCCC(*)=O,3.058768292
